id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions,question
cap.actuation.discovery,capability,,,,[],A caller needs the native command and contract surface.,actuation capabilities; actuation contract list,Discoverable routes and contract versions for this checkout.,"observed public CLI JSON discovery on this checkout, 2026-09-09: 20 command identities and 10 native contracts",agent-inference,README.md,cli/commands.mjs,cli/actuation.test.mjs,actuation.html#q1/product,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""capabilities"", ""contract.list"", ""harness.capability""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI emits its command identities and native contract versions as JSON.""}, ""cli_observation"": {""argv"": [""node"", ""./bin/actuation"", ""capabilities"", ""--json""], ""executed_at"": ""2026-09-09"", ""result_scope"": ""Working-tree CLI surface: actuation.cli/v1, version 0.2.0, 20 command identities and 10 native contracts including agency.actualise and actuation.agency-actualisation/v1."", ""revision_basis"": ""feat/public-agency-actualisation based on 7925f69c99a068fc064eeec6518efea9bb7aa265""}, ""converted_from_sha256"": ""0a76352c705f30682c115a1347bfa3a1e5300b25a6ba1cf542b1b11da5175369"", ""maintenance"": {""change_refs"": [""actuation:#30"", ""actuation:#31"", ""actuation:#33"", ""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""github-recovery-mirror/mirror/Actuation/issues/1.json"", ""actuation:#39"", ""actuation:#44""], ""code_basis"": {""cli/commands.mjs"": ""d6a377e51c2ece43006ae99e32cbedc00ec0b058968d620f6a9cbee459ada43e"", ""contracts/actuation-stream-store.mjs"": ""32ea63dc01981fac0b77b342969b47532d26dfc7e77b8723683fa2d6a0189b6e""}, ""updated_at"": ""2026-09-09""}, ""last_reconciled_at"": ""2026-09-09T09:07:52.541446+00:00""}",
cap.actuation.world-binding,capability,,,,[],A reader needs to know which Agent and Agency act in which World and scope.,actuation agency; actuation agency actualise; validateWorldBinding; isRootAgency,Validated situated identity and positional root reading; exact WorldBinding retained by authority-gated actualisation.,contract-tested read and public actualisation binding; no material provisioning claimed,agent-inference,docs/WORLD-BOUND-ROOT-AGENCY.md,contracts/agency.mjs;contracts/agency-actualisation.mjs;cli/commands.mjs,contracts/agency.test.mjs;cli/agency-actualisation.test.mjs,actuation.html#q1/agency,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""agency.read"", ""agency.actualise""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI reads supplied Agency relations and actualises a supplied exact WorldBinding only through the metagency authority gate.""}, ""converted_from_sha256"": ""0a76352c705f30682c115a1347bfa3a1e5300b25a6ba1cf542b1b11da5175369"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""github-recovery-mirror/mirror/Actuation/issues/1.json"", ""actuation:#44""], ""code_basis"": {""contracts/agency.mjs"": ""91f48560a2773fd93abeeaf77a6321bd04f7954e5c670d58f26d083709e2f5a5"", ""contracts/agency-actualisation.mjs"": ""ecc64e6886e9cb16dcf9e2f094a4d0d3d420b9ca2edf7dee0341febe0545262e"", ""cli/commands.mjs"": ""d6a377e51c2ece43006ae99e32cbedc00ec0b058968d620f6a9cbee459ada43e""}, ""updated_at"": ""2026-09-09""}, ""last_reconciled_at"": ""2026-09-09T09:12:46.650796+00:00""}",
cap.actuation.metagency,capability,,,,[],A governing actor needs explicit authority to act on agency.,actuation agency actualise; actualiseAgency; validateMetagencyGrant; agencyReadModel,Inspectable grants and an authority-gated semantic actualisation receipt in the exact bound World.,contract-tested public determination/actualisation; configuration and material provisioning remain outside this operation,agent-inference,docs/WORLD-BOUND-ROOT-AGENCY.md,contracts/agency.mjs;contracts/agency-actualisation.mjs;cli/commands.mjs,contracts/agency.test.mjs;cli/agency-actualisation.test.mjs,actuation.html#q3/boundaries,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""agency.read"", ""agency.actualise""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The public actualisation command exercises a matching explicit MetagencyGrant; visibility, capability and participation refs cannot replace it.""}, ""converted_from_sha256"": ""0a76352c705f30682c115a1347bfa3a1e5300b25a6ba1cf542b1b11da5175369"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""github-recovery-mirror/mirror/Actuation/issues/1.json"", ""actuation:#44""], ""code_basis"": {""contracts/agency.mjs"": ""91f48560a2773fd93abeeaf77a6321bd04f7954e5c670d58f26d083709e2f5a5"", ""contracts/agency-actualisation.mjs"": ""ecc64e6886e9cb16dcf9e2f094a4d0d3d420b9ca2edf7dee0341febe0545262e"", ""cli/commands.mjs"": ""d6a377e51c2ece43006ae99e32cbedc00ec0b058968d620f6a9cbee459ada43e""}, ""updated_at"": ""2026-09-09""}, ""last_reconciled_at"": ""2026-09-09T09:12:46.650796+00:00""}",
cap.actuation.determination,capability,,,,[],"Participants need explicit origin, delegated autonomy and recursive lineage.",actuation agency actualise; actualiseAgency; validateDetermination; validateDeterminationLineage,"Public bounded actualisation preserving distinct self-differentiation, delegation, derivation and federation lineage.",contract-tested public determination/actualisation; physical rematerialisation proof remains outstanding,agent-inference,docs/WORLD-BOUND-ROOT-AGENCY.md;README.md,contracts/agency.mjs;contracts/agency-actualisation.mjs;cli/commands.mjs;contracts/agency-actualisation-v1.schema.json,contracts/agency.test.mjs;cli/agency-actualisation.test.mjs,actuation.html#q2/commission,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""agency.actualise""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI actualises the supplied determination after exact authority, binding, bounds, lineage, identity and Return checks.""}, ""converted_from_sha256"": ""0a76352c705f30682c115a1347bfa3a1e5300b25a6ba1cf542b1b11da5175369"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""github-recovery-mirror/mirror/Actuation/issues/1.json"", ""actuation:#44""], ""code_basis"": {""contracts/agency.mjs"": ""91f48560a2773fd93abeeaf77a6321bd04f7954e5c670d58f26d083709e2f5a5"", ""contracts/agency-actualisation.mjs"": ""ecc64e6886e9cb16dcf9e2f094a4d0d3d420b9ca2edf7dee0341febe0545262e"", ""cli/commands.mjs"": ""d6a377e51c2ece43006ae99e32cbedc00ec0b058968d620f6a9cbee459ada43e"", ""contracts/agency-actualisation-v1.schema.json"": ""3732c1ec149038e4e3872c229cf8ba46814f04c5f26b6b328c528420609e8713""}, ""updated_at"": ""2026-09-09""}, ""last_reconciled_at"": ""2026-09-09T09:12:46.650796+00:00""}",
cap.actuation.return,capability,,,,[],A governing decision needs attributable difference from completed or interrupted work.,actuation agency; actuation agency actualise; validateReturn; agencyReadModel,Return provenance and state remain distinct; actualisation preserves the Return relation without recognising it or mutating source.,contract-tested relation preservation; Return recognition and world/source mutation are explicitly not performed,agent-inference,docs/WORLD-BOUND-ROOT-AGENCY.md,contracts/agency.mjs;contracts/agency-actualisation.mjs;cli/commands.mjs,contracts/agency.test.mjs;cli/agency-actualisation.test.mjs,actuation.html#q2/follow,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""agency.read"", ""agency.actualise""], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""The actualisation receipt preserves the required Return relation and explicitly performs no recognition or source mutation; Return records remain readable through agency.read.""}, ""converted_from_sha256"": ""0a76352c705f30682c115a1347bfa3a1e5300b25a6ba1cf542b1b11da5175369"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""github-recovery-mirror/mirror/Actuation/issues/1.json"", ""actuation:#44""], ""code_basis"": {""contracts/agency.mjs"": ""91f48560a2773fd93abeeaf77a6321bd04f7954e5c670d58f26d083709e2f5a5"", ""contracts/agency-actualisation.mjs"": ""ecc64e6886e9cb16dcf9e2f094a4d0d3d420b9ca2edf7dee0341febe0545262e"", ""cli/commands.mjs"": ""d6a377e51c2ece43006ae99e32cbedc00ec0b058968d620f6a9cbee459ada43e""}, ""updated_at"": ""2026-09-09""}, ""last_reconciled_at"": ""2026-09-09T09:12:46.650796+00:00""}",
cap.actuation.realised,capability,,,,[],A person needs to inspect the acting condition already present.,actuation realised; realisedActuationReadModel,"An evidence-bearing reading of Agent, Agency, WorldBinding, recurrence and body refs.","contract-tested: selected 36-test run, 2026-09-06",agent-inference,docs/REALISED-ACTUATION-LOOP.md,contracts/realised-actuation.mjs,contracts/realised-actuation.test.mjs,actuation.html#q1/observation,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""realised.read""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI reads a supplied realised-actuation record.""}, ""converted_from_sha256"": ""0a76352c705f30682c115a1347bfa3a1e5300b25a6ba1cf542b1b11da5175369"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""github-recovery-mirror/mirror/Actuation/issues/1.json""], ""code_basis"": {""contracts/realised-actuation.mjs"": ""c1ca31f78acce5db5bf334a445036e79fb20ee15aa18f58099b8e6f60e48b839""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.797672+00:00""}",
cap.actuation.continuity,capability,,,,[],A reader needs to distinguish body change from semantic identity change.,continuityDelta,Attributed differences between two realised receipts.,"contract-tested: selected 36-test run, 2026-09-06",agent-inference,docs/REALISED-ACTUATION-LOOP.md,contracts/realised-actuation.mjs,contracts/realised-actuation.test.mjs,actuation.html#q3/identities,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""continuityDelta is a library operation; the CLI emits no continuity command.""}, ""converted_from_sha256"": ""0a76352c705f30682c115a1347bfa3a1e5300b25a6ba1cf542b1b11da5175369"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""github-recovery-mirror/mirror/Actuation/issues/1.json""], ""code_basis"": {""contracts/realised-actuation.mjs"": ""c1ca31f78acce5db5bf334a445036e79fb20ee15aa18f58099b8e6f60e48b839""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.797672+00:00""}",
cap.actuation.stream,capability,,,,[],Surfaces need to read and resume attributable unfolding work.,actuation stream; actuation stream open; actuation stream record; actuation stream replay; actuation stream close; actuationStreamReadModel; ActuationStreamJournal; openDurableStream; recordBoundaryOccurrence; replayDurableStream; closeDurableStream,"Ordered event reads, append, replay, subscription and closure in the reference implementation; durable append-only JSONL store with descriptor-validated boundary occurrence recording.","contract-tested incl. the durable store (17 tests, 2026-09-06); harness-boundary forwarding not wired yet; cross-surface deployment not exercised",agent-inference,docs/ACTUATION-STREAM.md,contracts/actuation-stream.mjs;contracts/actuation-stream-store.mjs;cli/commands.mjs,contracts/actuation-stream.test.mjs;contracts/actuation-stream-store.test.mjs;cli/stream-store.test.mjs,actuation.html#q2/follow,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""stream.read"", ""stream.open"", ""stream.record"", ""stream.replay"", ""stream.close""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI reads a supplied Actuation Stream and records boundary occurrences into the durable descriptor-validated store.""}, ""converted_from_sha256"": ""0a76352c705f30682c115a1347bfa3a1e5300b25a6ba1cf542b1b11da5175369"", ""maintenance"": {""change_refs"": [""actuation:#33"", ""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""github-recovery-mirror/mirror/Actuation/issues/1.json"", ""actuation:#39"", ""actuation:#44""], ""code_basis"": {""contracts/actuation-stream.mjs"": ""0437bc3bf619bc1cc513ac9f22e086481f6f13a76883f9561bf2bd9f6bc58399"", ""contracts/actuation-stream-store.mjs"": ""e8152e10b95b07f8414fa7baded9863e6c76bae9564d08d24994a3852d553d2f"", ""cli/commands.mjs"": ""d6a377e51c2ece43006ae99e32cbedc00ec0b058968d620f6a9cbee459ada43e""}, ""updated_at"": ""2026-09-09""}, ""last_reconciled_at"": ""2026-09-09T09:04:12.185796+00:00""}",
cap.actuation.activity,capability,,,,[],A person needs a meaningful summary with a route back to trace evidence.,actuation activity; activityFromActuationStream; activityFromStreamEvent,"Semantic subject, phase and outcome with reversible Stream references.","contract-tested: selected 36-test run, 2026-09-06",agent-inference,docs/ACTIVITY.md,contracts/activity.mjs,contracts/activity.test.mjs,actuation.html#q1/observation,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""activity.read""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI reads and validates a supplied Activity record.""}, ""converted_from_sha256"": ""0a76352c705f30682c115a1347bfa3a1e5300b25a6ba1cf542b1b11da5175369"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""github-recovery-mirror/mirror/Actuation/issues/1.json"", ""actuation:#39""], ""code_basis"": {""contracts/activity.mjs"": ""c6a499d19247e9d39ec0244c20ce6e1fb05e25ba83dc73fbef58ec9cbf5924bc""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T23:08:58.074153+00:00""}",
cap.actuation.model-usage,capability,,,,[],"Consumers need measurable model use correlated with Agency, Activity and Return without parsing provider logs or inventing cost.",actuation usage; actuation stream usage; validateModelUsageObservation; modelUsageFromClaudeCodeTranscript; recordModelUsageObservation,"Provider-truthful model, token, cache, timing and cost observations attached to ActuationStream and referenced by Activity.",contract-tested: 152 native tests passed 2026-09-09; Claude Code transcript adapter grounded in a live native record shape; no provider cost or latency is claimed where the record did not supply it,agent-inference,docs/ACTUATION-STREAM.md;docs/ACTIVITY.md,contracts/model-usage.mjs;contracts/actuation-stream-store.mjs;contracts/activity.mjs;cli/commands.mjs;cli/actuation.mjs;cli/surface.mjs;contracts/activity-v1.schema.json;contracts/actuation-stream-v1.schema.json;contracts/model-usage-v1.schema.json,contracts/model-usage.test.mjs;contracts/actuation-stream-store.test.mjs;contracts/activity.test.mjs;cli/stream-store.test.mjs,actuation.html#q1/observation,,,"{""basis"": ""Actuation #39 implementation reconciled against executable contracts and native tests."", ""cli_commands"": [""usage.read"", ""stream.usage""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI validates portable usage observations and normalizes one supported Claude Code native transcript event into the durable Stream.""}, ""maintenance"": {""change_refs"": [""actuation:#39"", ""actuation:#44""], ""code_basis"": {""contracts/model-usage.mjs"": ""dd4143c5cf94ea65bd785e9067fd1bc3ad5dac76880361442377000b02ba368a"", ""contracts/actuation-stream-store.mjs"": ""e8152e10b95b07f8414fa7baded9863e6c76bae9564d08d24994a3852d553d2f"", ""contracts/activity.mjs"": ""c6a499d19247e9d39ec0244c20ce6e1fb05e25ba83dc73fbef58ec9cbf5924bc"", ""cli/commands.mjs"": ""d6a377e51c2ece43006ae99e32cbedc00ec0b058968d620f6a9cbee459ada43e"", ""cli/actuation.mjs"": ""54ffa145993a0a7fd8bb5e84baff9bb08ea299a5841bd71cc631b54f54cb280d"", ""cli/surface.mjs"": ""fff47f1d9647ce24b08e29475e601d83ce6aaa24acbd4f9ad9168854c451c856"", ""contracts/activity-v1.schema.json"": ""9c18f3909889b5c31c7a848603d7cdb9a2b8c3ed7ce30a6a8f60dc4aac91a083"", ""contracts/actuation-stream-v1.schema.json"": ""5fb12e60d064012c06780f5d40e7b3bd057ac3c7f3841c03a6381a12d8cee9ff"", ""contracts/model-usage-v1.schema.json"": ""42215b3f06dffe5bfba53b0f51db6400d5b8739098c4fb1275f7a006579615cb""}, ""updated_at"": ""2026-09-09""}, ""last_reconciled_at"": ""2026-09-09T09:04:12.185796+00:00""}",
